==========================================================================================
  RAPPORT DE GÉNÉRATION ET VALIDATION DES FICHIERS HARMONIQUES
  Date : 2026-03-11 17:01
  Référence : maree.info (données SHOM)
==========================================================================================

──────────────────────────────────────────────────────────────────────────────────────────
  RÉSUMÉ DE GÉNÉRATION
──────────────────────────────────────────────────────────────────────────────────────────
  Ports traités : 137
  Succès : 137
  Erreurs : 0

──────────────────────────────────────────────────────────────────────────────────────────
  Port                                           Lat       Lon  Const         Atlas  Fichier                       
──────────────────────────────────────────────────────────────────────────────────────────
  Lorient                                     47.733    -3.367      0                Lorient.har                   
  Port-Louis (Locmalo)                        47.717    -3.350      0                Port-Louis-Locmalo.har        
  Ile de Groix (Port-Tudy)                    47.650    -3.450      0                Ile-de-Groix-Port-Tudy.har    
  Etel                                        47.650    -3.200      0                Etel.har                      
  Quiberon (Port-Maria)                       47.483    -3.117      0                Quiberon-Port-Maria.har       
  Belle-Ile (Le Palais)                       47.350    -3.150      0                Belle-Ile-Le-Palais.har       
  Quiberon (Port-Haliguen)                    47.483    -3.100      0                Quiberon-Port-Haliguen.har    
  La Trinité-sur-Mer                          47.583    -3.017      0                La-Trinite-sur-Mer.har        
  Auray (St-Goustan)                          47.667    -2.983      0                Auray-St-Goustan.har          
  Locmariaquer                                47.567    -2.933      0                Locmariaquer.har              
  Arradon                                     47.617    -2.817      0                Arradon.har                   
  Vannes                                      47.650    -2.750      0                Vannes.har                    
  Saint-Armel (Le Passage)                    47.583    -2.683      0                Saint-Armel-Le-Passage.har    
  Le Logeo                                    47.533    -2.800      0                Le-Logeo.har                  
  Port-Navalo                                 47.550    -2.917      0                Port-Navalo.har               
  Port du Crouesty                            47.533    -2.900      0                Port-du-Crouesty.har          
  Pénerf                                      47.500    -2.633      0                Penerf.har                    
  Tréhiguier                                  47.517    -2.467      0                Trehiguier.har                
  Hoëdic                                      47.333    -2.867      0                Hoedic.har                    
  Houat                                       47.383    -2.950      0                Houat.har                     
  Le Croisic                                  47.300    -2.517      0                Le-Croisic.har                
  Le Pouliguen                                47.267    -2.433      0                Le-Pouliguen.har              
  Pornichet                                   47.250    -2.350      0                Pornichet.har                 
  Saint-Nazaire                               47.267    -2.200      0                Saint-Nazaire.har             
  Pointe de Saint-Gildas                      47.133    -2.233      0                Pointe-de-Saint-Gildas.har    
  Pornic                                      47.117    -2.100      0                Pornic.har                    
  Noirmoutier (L'Herbaudière)                 47.017    -2.300      0                Noirmoutier-LHerbaudiere.har  
  Fromentine Bouée                            46.883    -2.167      0                Fromentine-Bouee.har          
  Fromentine Port                             46.883    -2.150      0                Fromentine-Port.har           
  Ile d'Yeu (Port-Joinville)                  46.733    -2.350      0                Ile-dYeu-Port-Joinville.har   
  Saint-Gilles-Croix-de-Vie                   46.700    -1.950      0                Saint-Gilles-Croix-de-Vie.har 
  Les Sables-d'Olonne                         46.500    -1.800      0                Les-Sables-dOlonne.har        
  Ile de Ré (Saint-Martin)                    46.200    -1.367      0                Ile-de-Re-Saint-Martin.har    
  La Rochelle-Pallice                         46.167    -1.217      0                La-Rochelle-Pallice.har       
  Ile d'Aix                                   46.017    -1.183      0                Ile-dAix.har                  
  Saint-Denis d'Oléron                        46.033    -1.367      0                Saint-Denis-dOleron.har       
  Ile d'Oléron (La Cotinière)                 45.917    -1.333      0                Ile-dOleron-La-Cotiniere.har  
  Pointe de Gatseau                           45.783    -1.233      0                Pointe-de-Gatseau.har         
  Cordouan                                    45.583    -1.167      0                Cordouan.har                  
  Royan                                       45.617    -1.033      0                Royan.har                     
  Pointe de Grave (Port-Bloc)                 45.567    -1.067      0                Pointe-de-Grave-Port-Bloc.har 
  Richards                                    45.467    -0.917      0                Richards.har                  
  Laména                                      45.217    -0.750      0                Lamena.har                    
  Pauillac                                    45.200    -0.750      0                Pauillac.har                  
  Bordeaux                                    44.867    -0.550      0                Bordeaux.har                  
  Lacanau (Large)                             44.967    -1.333      0                Lacanau-Large.har             
  Cap Ferret                                  44.633    -1.250      0                Cap-Ferret.har                
  Arcachon (Jetée d'Eyrac)                    44.667    -1.167      0                Arcachon-Jetee-dEyrac.har     
  Biscarrosse                                 44.367    -1.383      0                Biscarrosse.har               
  Mimizan                                     44.133    -1.350      0                Mimizan.har                   
  Vieux-Boucau                                43.783    -1.400      0                Vieux-Boucau.har              
  Boucau-Bayonne / Biarritz                   43.533    -1.533      0                Boucau-Bayonne-Biarritz.har   
  Saint-Jean-de-Luz                           43.400    -1.683      0                Saint-Jean-de-Luz.har         

==========================================================================================
  VALIDATION CONTRE MAREE.INFO
==========================================================================================

  Ports validés : 137 / 137

──────────────────────────────────────────────────────────────────────────────────────────
  Port                                     Z0   Écart moy   Écart max  N pts       Lat       Lon
──────────────────────────────────────────────────────────────────────────────────────────
  Dunkerque                              3.39       0.23m       0.40m     26    51.050     2.367
  Gravelines                             3.77       0.33m       0.56m     26    51.017     2.100
  Calais                                 3.96       0.10m       0.23m     27    50.967     1.867
  Wissant                                4.39       0.10m       0.24m     27    50.883     1.667
  Boulogne-sur-Mer                       4.81       0.16m       0.34m     27    50.733     1.583
  Le Touquet                             4.59       0.55m       0.79m     27    50.517     1.583
  Berck Plage - Fort Mahon               5.25       0.14m       0.27m     27    50.350     1.517
  Baie de Somme (Le Crotoy)              1.69       3.77m       6.06m     27    50.217     1.633
  Cayeux-sur-Mer                         4.56       0.87m       1.22m     27    50.183     1.500
  Le Tréport                             5.25       0.28m       0.51m     27    50.067     1.367
  Dieppe                                 5.09       0.16m       0.35m     27    49.933     1.083
  Saint-Valery-en-Caux                   4.84       0.19m       0.46m     27    49.867     0.717
  Fécamp                                 4.63       0.26m       0.46m     27    49.767     0.367
  Etretat                                4.58       0.14m       0.28m     27    49.717     0.200
  Le Havre-Antifer                       4.59       0.20m       0.31m     27    49.667     0.150
  Le Havre                               4.83       0.08m       0.25m     27    49.483     0.100
  Honfleur                               4.88       0.12m       0.31m     27    49.417     0.233
  Trouville / Deauville                  4.90       0.14m       0.26m     27    49.367     0.067
  Dives-sur-Mer                          4.82       0.15m       0.26m     27    49.283    -0.100
  Ouistreham                             4.91       0.23m       0.47m     27    49.283    -0.250
  Courseulles-sur-Mer                    4.52       0.08m       0.23m     27    49.333    -0.467
  Arromanches-Les-Bains                  4.46       0.11m       0.20m     27    49.350    -0.617
  Port-en-Bessin                         4.32       0.05m       0.14m     27    49.350    -0.750
  Grandcamp                              4.25       0.11m       0.32m     27    49.383    -1.050
  Iles Saint-Marcouf                     4.12       0.11m       0.29m     27    49.500    -1.133
  Saint-Vaast-La-Hougue                  3.86       0.13m       0.41m     27    49.583    -1.267
  Barfleur                               3.63       0.30m       0.52m     27    49.667    -1.267
  Cherbourg                              3.61       0.18m       0.30m     27    49.650    -1.617
  Omonville-la-Rogue                     3.58       0.11m       0.23m     27    49.717    -1.833
  Goury                                  4.83       0.19m       0.42m     27    49.717    -1.950
  Diélette                               5.30       0.16m       0.36m     26    49.550    -1.867
  Carteret                               6.14       0.28m       0.49m     26    49.367    -1.783
  Portbail                               6.10       0.18m       0.38m     26    49.333    -1.733
  Saint-Germain-sur-Ay                   4.26       2.05m       2.68m     26    49.217    -1.633
  Pointe d'Agon                          5.54       1.46m       2.01m     26    49.000    -1.583
  Granville                              7.37       0.36m       0.73m     26    48.833    -1.600
  Iles Chausey (Grande-Ile)              7.07       0.25m       0.65m     26    48.867    -1.833
  Cancale                                7.37       0.28m       0.65m     26    48.667    -1.850
  Saint-Malo                             6.91       0.28m       0.56m     26    48.650    -2.000
  Ile des Hébihens                       6.64       0.16m       0.36m     26    48.617    -2.133
  Saint-Cast                             6.77       0.22m       0.50m     26    48.633    -2.250
  Erquy                                  6.48       0.26m       0.51m     26    48.633    -2.467
  Dahouet                                6.47       0.21m       0.43m     26    48.583    -2.567
  Baie de Saint-Brieuc (Le Légué)        2.23       4.12m       5.97m     26    48.517    -2.733
  Binic                                  6.40       0.18m       0.38m     26    48.600    -2.833
  Saint-Quay-Portrieux                   6.26       0.12m       0.39m     26    48.683    -2.817
  Ile de Bréhat                          2.14       3.63m       5.04m     26    48.850    -3.000
  Les Héaux-de-Bréhat                    2.07       3.43m       4.62m     26    48.883    -3.083
  Paimpol                                2.60       3.43m       4.33m     26    48.783    -3.050
